date,city,precipitation,day_of_year,average,precipitation_or_average,year,month,month_no,month_and_year,season
2018-01-01,Seattle,0.02,1,0.128,0.02,2018,January,1,January 2018,Winter
2018-01-02,Seattle,0.0,2,0.084,0.0,2018,January,1,January 2018,Winter
2018-01-03,Seattle,0.0,3,0.242,0.0,2018,January,1,January 2018,Winter
2018-01-04,Seattle,0.02,4,0.438,0.02,2018,January,1,January 2018,Winter
2018-01-05,Seattle,0.13,5,0.312,0.13,2018,January,1,January 2018,Winter
2018-01-06,Seattle,0.17,6,0.32599999999999996,0.17,2018,January,1,January 2018,Winter
2018-01-07,Seattle,0.0,7,0.18,0.0,2018,January,1,January 2018,Winter
2018-01-08,Seattle,0.0,8,0.21200000000000002,0.0,2018,January,1,January 2018,Winter
2018-01-09,Seattle,0.5,9,0.20800000000000002,0.5,2018,January,1,January 2018,Winter
2018-01-10,Seattle,0.36,10,0.162,0.36,2018,January,1,January 2018,Winter
2018-01-11,Seattle,0.18,11,0.186,0.18,2018,January,1,January 2018,Winter
2018-01-12,Seattle,0.31,12,0.26,0.31,2018,January,1,January 2018,Winter
2018-01-13,Seattle,0.0,13,0.276,0.0,2018,January,1,January 2018,Winter
2018-01-14,Seattle,0.0,14,0.148,0.0,2018,January,1,January 2018,Winter
2018-01-15,Seattle,0.0,15,0.008,0.0,2018,January,1,January 2018,Winter
2018-01-16,Seattle,0.17,16,0.21400000000000002,0.17,2018,January,1,January 2018,Winter
2018-01-17,Seattle,0.0,17,0.04,0.0,2018,January,1,January 2018,Winter
2018-01-18,Seattle,0.69,18,0.194,0.69,2018,January,1,January 2018,Winter
2018-01-19,Seattle,0.43,19,0.262,0.43,2018,January,1,January 2018,Winter
2018-01-20,Seattle,0.18,20,0.256,0.18,2018,January,1,January 2018,Winter
2018-01-21,Seattle,0.05,21,0.202,0.05,2018,January,1,January 2018,Winter
2018-01-22,Seattle,0.35,22,0.096,0.35,2018,January,1,January 2018,Winter
2018-01-23,Seattle,0.02,23,0.03,0.02,2018,January,1,January 2018,Winter
2018-01-24,Seattle,0.42,24,0.22400000000000003,0.42,2018,January,1,January 2018,Winter
2018-01-25,Seattle,0.44,25,0.156,0.44,2018,January,1,January 2018,Winter
2018-01-26,Seattle,0.51,26,0.21400000000000002,0.51,2018,January,1,January 2018,Winter
2018-01-27,Seattle,0.02,27,0.10200000000000001,0.02,2018,January,1,January 2018,Winter
2018-01-28,Seattle,0.11,28,0.286,0.11,2018,January,1,January 2018,Winter
2018-01-29,Seattle,0.0,29,0.146,0.0,2018,January,1,January 2018,Winter
2018-01-30,Seattle,0.55,30,0.248,0.55,2018,January,1,January 2018,Winter
2018-01-31,Seattle,0.07,31,0.10400000000000001,0.07,2018,January,1,January 2018,Winter
2018-02-01,Seattle,0.0,32,0.08199999999999999,0.0,2018,February,2,February 2018,Winter
2018-02-02,Seattle,0.03,33,0.16,0.03,2018,February,2,February 2018,Winter
2018-02-03,Seattle,0.04,34,0.34,0.04,2018,February,2,February 2018,Winter
2018-02-04,Seattle,0.0,35,0.064,0.0,2018,February,2,February 2018,Winter
2018-02-05,Seattle,0.02,36,0.08,0.02,2018,February,2,February 2018,Winter
2018-02-06,Seattle,0.0,37,0.05,0.0,2018,February,2,February 2018,Winter
